!#This contains the mission control text from Helldivers 2, the third column is the desired text that should be spoken
DEF: 3 #Do not delete! This indicates in which column the real text is
!#926271107089383532 | Area secured. | Area secure.
!#10209034767887004909 | Area secured. | Area secure.
!#15196981865059357721 | Area secured. | Area secure.
!#8733228560597347621 | Warning, you are in range of enemy artillery. | Warning, you are in range of enemy artillery.
!#18243251638151460526 | Warning, you are in range of enemy artillery. | Warning, you are in range of enemy artillery.
!#537959321763982718 | Warning, you are in range of enemy artillery. | Pilot, you are in range of enemy artillery.
!#13778437861897356159 | Defense complete. | Defense complete.
!#2679418416281631174 | Defense complete. | Defense complete. Well done pilot.
!#5945960194076446691 | Bug outpost, destroyed. | Bug outpost destroyed. Well done pilot.
!#7206889560190617303 | Bug outpost, destroyed. | Bug outpost, destroyed.
!#2015311473484153726 | Bug outpost, destroyed. | Bug outpost destroyed.
!#7823871644010768546 | Hive structure, destroyed. | Hive structure destroyed.
!#16793582845828581810 | Hive structure destroyed. | Hive structure, destroyed.
!#18059289754462489936 | Hive structure destroyed. | Hive structure, erradicated.
!#1377023812536288735 | Terminid hive structure, destroyed.  | Terminid hive structure, erradicated.
!#12364439247320844962 | Terminid hive structure, destroyed. | Terminid hive structure, erradicated.
!#6597166742443028397 | Terminid hive structure, destroyed. | Terminid hive structure erradicated.
!#2462731386387601537 | Terminid outpost purged. | Terminid outpost, purged. 
!#6479512486882531544 | Terminid outpost purged. | Terminid outpost, erradicated.
!#9312065545764088492 | Terminid outpost purged. | Terminid outpost, purged.
!#13671345623841072014 | Terminid outpost, destroyed. | Terminid outpost, destroyed.
!#9581984787731585123 | Terminid outpost destroyed. | Terminid outpost, destroyed. Well done.
!#11103370189294262607 | Terminid outpost destroyed.| Terminid outpost, erradicated.
!#6367951256109207722  | Automaton facility destroyed. | Bot facility destroyed.
!#11948528683727485352 | Automaton facility destroyed. | Bot facility destroyed.
!#16885573368722136114 | Automaton facility destroyed. | Bot facility erradicated.
!#10006249292752908403   | Automaton outpost destroyed. | Bot outpost destroyed.
!#15517011851254998955 | Automaton outpost destroyed. | Bot outpost, destroyed.
!#16385035438266554860 | Automaton outpost destroyed. | Bot outpost, erradicated.
!#16857709818934339727 | Automaton outpost, scrapped. | Bot outpost erradicated.
!#17567187768628382250 | Automaton outpost, scrapped. | Bot outpost, erradicated. Well done pilot.
!#3431455990177077847  | Automaton outpost, scrapped. | Bot outpost scrapped. 
